Geocode Address,Geocode Street,Case Number,Occurred From Date Year,Occurred From Date Month,Occurred From Time,Occurred From Timestamp,Occurred Through Date Year,Occurred Through Date Month,Occurred Through Time,Occurred Through Timestamp,Reported Date Year,Reported Date Month,Reported Time,Reported Timestamp,Address StreetFull,Address City,Address State,Patrol Beat,Patrol Section,Case Status,Statute Title,Statute Section,Statute Subsection,Statute Degree,Statute Class,Statute Category,Statute Text,Statute Description,Statute Crime Category,Statute Attempted,Weapon Description,Larceny Type,Location Type,Geo Beat,Geo Section,Geo Section Num
"73 Weld St, Rochester, NY, 14605",73 WELD ST,2018-00249843,2018,10,0800,"10/9/2018, 4:00 AM",2018,10,0845,"10/9/2018, 4:45 AM",2018,10,0857,"10/9/2018, 8:57 AM",73 WELD ST,Rochester,NY,287,Clinton,Office,PL ,140.25   ,02    ,2,C,F,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,Burglary,Completed,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,287,Clinton,7
"111 East Ave, Rochester, NY, 14604",111 EAST AVE,2018-00245805,2018,10,0230,"10/3/2018, 10:30 PM",2018,10,1000,"10/4/2018, 6:00 AM",2018,10,1151,"10/4/2018, 11:51 AM",111 EAST AVE,Rochester,NY,219,Central,Office,PL ,140.25   ,02    ,2,C,F,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,Burglary,Completed,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,219,Central,9
"25 Franklin St, Rochester, NY, 14604",25 FRANKLIN ST,2018-00241516,2018,9,0255,"9/28/2018, 10:55 PM",2018,9,0354,"9/28/2018, 11:54 PM",2018,9,0354,"9/29/2018, 3:54 AM",25 FRANKLIN ST,Rochester,NY,219,Central,Cleared by Arrest - Adult,PL ,140.25   ,02    ,2,C,F,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,Burglary,Completed,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,219,Central,9
"10 Manhattan Square Dr, Rochester, NY, 14607",10 MANHATTAN SQUARE DR,2018-00256025,2018,10,0530,"10/16/2018, 1:30 AM",2018,10,1540,"10/16/2018, 11:40 AM",2018,10,1540,"10/16/2018, 3:40 PM",10 MANHATTAN SQUARE DR,Rochester,NY,219,Central,Office,PL ,140.25   ,02    ,2,C,F,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,Burglary,Completed,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,219,Central,9
"503 Child St, Rochester, NY, 14606",503 CHILD ST,2018-00255675,2018,10,0800,"10/15/2018, 4:00 AM",2018,10,2000,"10/15/2018, 4:00 PM",2018,10,0633,"10/16/2018, 6:33 AM",503 CHILD ST,Rochester,NY,291,Lake,Office,PL ,140.25   ,02    ,2,C,F,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,Burglary,Completed,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,291,Lake,1
"167 Cameron St, Rochester, NY, 14606",167 CAMERON ST,2018-00251089,2018,9,0000,"9/22/2018, 8:00 PM",2018,10,1700,"10/9/2018, 1:00 PM",2018,10,1517,"10/10/2018, 3:17 PM",167 CAMERON ST,Rochester,NY,261,Lake,Office,PL ,140.20   ,      ,3,D,F,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,Burglary,Completed,* No Weapon Specified *,* No Larceny Type Specified *,Garage/Shed,261,Lake,1
"93 Sherman St, Rochester, NY, 14606",93 SHERMAN ST,2018-00254946,2018,10,1900,"10/12/2018, 3:00 PM",2018,10,0830,"10/14/2018, 4:30 AM",2018,10,1025,"10/15/2018, 10:25 AM",93 SHERMAN ST,Rochester,NY,261,Lake,Field,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Other Residential,261,Lake,1
"75 Franklin Ct, Rochester, NY, 14604",75 FRANKLIN TER,2018-00257641,2018,10,1736,"10/12/2018, 1:36 PM",2018,10,1930,"10/12/2018, 3:30 PM",2018,10,1345,"10/18/2018, 1:45 PM",75 FRANKLIN TER,***,NY,***,***,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,219,Central,9
"32 Lawrence St, Rochester, NY, 14607",32 LAWRENCE ST,2018-00257224,2018,10,2000,"10/17/2018, 4:00 PM",2018,10,2245,"10/17/2018, 6:45 PM",2018,10,2318,"10/17/2018, 11:18 PM",32 LAWRENCE ST,Rochester,NY,219,Central,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,219,Central,9
"32 Lawrence St, Rochester, NY, 14607",32 LAWRENCE ST,2018-00257224,2018,10,2000,"10/17/2018, 4:00 PM",2018,10,2245,"10/17/2018, 6:45 PM",2018,10,2318,"10/17/2018, 11:18 PM",32 LAWRENCE ST,Rochester,NY,219,Central,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,219,Central,9
"2 Charlotte St, Rochester, NY, 14607",2 CHARLOTTE ST,2018-00216315,2018,9,0034,"8/31/2018, 8:34 PM",2018,9,0035,"8/31/2018, 8:35 PM",2018,9,1646,"9/2/2018, 4:46 PM",2 CHARLOTTE ST,Rochester,NY,219,Central,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Single Family Home,219,Central,9
"245 Sherwood Ave, Rochester, NY, 14619",245 SHERWOOD AVE,2018-00214336,2018,8,2200,"8/30/2018, 6:00 PM",2018,8,2200,"8/30/2018, 6:00 PM",2018,8,1230,"8/31/2018, 12:30 PM",245 SHERWOOD AVE,Rochester,NY,223,Genesee,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Street,223,Genesee,3
"251 Gregory St, Rochester, NY, 14620",251 GREGORY ST,2018-00260612,2018,10,1900,"10/21/2018, 3:00 PM",2018,10,0730,"10/22/2018, 3:30 AM",2018,10,0937,"10/22/2018, 9:37 AM",251 GREGORY ST,Rochester,NY,229,Central,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Street,229,Central,9
"89 Westminster Rd, Rochester, NY, 14607",89 WESTMINSTER ROAD,2018-00214150,2018,8,2230,"8/30/2018, 6:30 PM",2018,8,0825,"8/31/2018, 4:25 AM",2018,8,0835,"8/31/2018, 8:35 AM",89 WESTMINSTER ROAD,Rochester,NY,245,Goodman,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Street,245,Goodman,5
"59 Manor Pkwy, Rochester, NY, 14620",59 MANOR PKWY,2018-00261590,2018,10,1330,"10/23/2018, 9:30 AM",2018,10,1330,"10/23/2018, 9:30 AM",2018,10,1330,"10/23/2018, 1:30 PM",59 MANOR PKWY,Rochester,NY,265,Goodman,Warrant Advised,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Building,Multiple Dwelling,265,Goodman,5
"100 Gibbs St, Rochester, NY, 14605",100 GIBBS ST,2018-00250629,2018,10,1952,"10/9/2018, 3:52 PM",2018,10,0005,"10/9/2018, 8:05 PM",2018,10,0051,"10/10/2018, 12:51 AM",100 GIBBS ST,Rochester,NY,219,Central,Field,PL ,155.30   ,04    ,4,E,F,Larceny,Grand Larceny 4th: Credit Card                              ,Larceny,Completed,* No Weapon Specified *,Theft from Building,College,219,Central,9
"1048 East Ave, Rochester, NY, 14607",1048 EAST AVE,2018-00248029,2018,10,1805,"10/6/2018, 2:05 PM",2018,10,2115,"10/6/2018, 5:15 PM",2018,10,2215,"10/6/2018, 10:15 PM",1048 EAST AVE,Rochester,NY,245,Goodman,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Street,245,Goodman,5
"16 Gibbs St, Rochester, NY, 14604",16 GIBBS ST,2018-00251136,2018,10,1411,"10/10/2018, 10:11 AM",2018,10,1412,"10/10/2018, 10:12 AM",2018,10,1600,"10/10/2018, 4:00 PM",16 GIBBS ST,Rochester,NY,219,Central,Field,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,College,219,Central,9
"26 Gibbs St, Rochester, NY, 14604",26 GIBBS ST,2018-00240934,2018,9,0900,"9/21/2018, 5:00 AM",2018,9,1500,"9/28/2018, 11:00 AM",2018,9,1511,"9/28/2018, 3:11 PM",26 GIBBS ST,Rochester,NY,219,Central,Field,PL ,155.35   ,01    ,3,D,F,Larceny,Grand Larceny 3rd: Property Value Exceeds $3000             ,Larceny,Completed,* No Weapon Specified *,Theft from Building,College,219,Central,9
"142 Lake Ave, Rochester, NY, 14608",142 LAKE AVE,2018-00240446,2018,9,2345,"9/27/2018, 7:45 PM",2018,9,2345,"9/27/2018, 7:45 PM",2018,9,2345,"9/27/2018, 11:45 PM",142 LAKE AVE,Rochester,NY,271,Lake,Cleared by Arrest - Adult,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Building,Other Business Office,271,Lake,1
"31 University Ave, Rochester, NY, 14605",31 UNIVERSITY AVE,2018-00237879,2018,9,2000,"9/24/2018, 4:00 PM",2018,9,0930,"9/25/2018, 5:30 AM",2018,9,0940,"9/25/2018, 9:40 AM",31 UNIVERSITY AVE,Rochester,NY,219,Central,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,219,Central,9
"6 Hickory St, Rochester, NY, 14620",6 HICKORY ST,2018-00243126,2018,9,0157,"9/29/2018, 9:57 PM",2018,9,0204,"9/29/2018, 10:04 PM",2018,10,0830,"10/1/2018, 8:30 AM",6 HICKORY ST,Rochester,NY,229,Central,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Street,229,Central,9
"N Water St, Rochester, NY, 14604",138 N WATER ST,2018-00245609,2018,10,2030,"10/3/2018, 4:30 PM",2018,10,0645,"10/4/2018, 2:45 AM",2018,10,0700,"10/4/2018, 7:00 AM",138 N WATER ST,***,NY,***,***,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Street,219,Central,9
"299 Hazelwood Ter, Rochester, NY, 14609",299 HAZELWOOD TER,2018-00252408,2018,10,0200,"10/10/2018, 10:00 PM",2018,10,0200,"10/10/2018, 10:00 PM",2018,10,2336,"10/11/2018, 11:36 PM",299 HAZELWOOD TER,Rochester,NY,215,Goodman,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Other Outside Location,215,Goodman,5
"32 Vick Park A, Rochester, NY, 14607",32 VICK PARK A,2018-00219826,2018,9,1800,"9/5/2018, 2:00 PM",2018,9,0815,"9/6/2018, 4:15 AM",2018,9,0815,"9/6/2018, 8:15 AM",32 VICK PARK A,Rochester,NY,245,Goodman,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,245,Goodman,5
"312 State St, Rochester, NY, 14608",312 STATE ST,2018-00227139,2018,9,1815,"9/13/2018, 2:15 PM",2018,9,2215,"9/13/2018, 6:15 PM",2018,9,2215,"9/13/2018, 10:15 PM",312 STATE ST,Rochester,NY,209,Central,Office,PL ,155.30   ,01    ,4,E,F,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,Larceny,Completed,* No Weapon Specified *,Motor Vehicle Theft,Parking Lot,209,Central,9
"76 Riverferry Way, Rochester, NY, 14608",76 RIVERFERRY WAY,2018-00219962,2018,9,2230,"9/5/2018, 6:30 PM",2018,9,0930,"9/6/2018, 5:30 AM",2018,9,1103,"9/6/2018, 11:03 AM",76 RIVERFERRY WAY,Rochester,NY,209,Central,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Other Residential,209,Central,9
"236 Dr Samuel Mccree Way, Rochester, NY, 14611",236 DR SAMUEL MCCREE WAY,2018-00217996,2018,8,1600,"8/31/2018, 12:00 PM",2018,9,1400,"9/4/2018, 10:00 AM",2018,9,1410,"9/4/2018, 2:10 PM",236 DR SAMUEL MCCREE WAY,Rochester,NY,233,Genesee,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Other Outside Location,233,Genesee,3
"60 Riverferry Way, Rochester, NY, 14608",60 RIVERFERRY WAY,2018-00230292,2018,9,1700,"9/14/2018, 1:00 PM",2018,9,1000,"9/18/2018, 6:00 AM",2018,9,1000,"9/17/2018, 10:00 AM",60 RIVERFERRY WAY,Rochester,NY,209,Central,Office,PL ,155.30   ,01    ,4,E,F,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,Larceny,Completed,* No Weapon Specified *,Theft from Building,Multiple Dwelling,209,Central,9
"Liberty Pole Way, Rochester, NY, 14604",272 LIBERTY POLE WAY,2018-00234118,2018,9,0600,"9/20/2018, 2:00 AM",2018,9,1800,"9/20/2018, 2:00 PM",2018,9,0725,"9/21/2018, 7:25 AM",272 LIBERTY POLE WAY,***,NY,***,***,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Other Residential,219,Central,9
"427 Alexander St, Rochester, NY, 14607",427 ALEXANDER ST,2018-00233319,2018,9,2130,"9/19/2018, 5:30 PM",2018,9,0830,"9/20/2018, 4:30 AM",2018,9,0955,"9/20/2018, 9:55 AM",427 ALEXANDER ST,Rochester,NY,225,Goodman,Field,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,225,Goodman,5
"46 W Main St, Rochester, NY, 14614",46 W MAIN ST,2018-00230236,2018,9,0825,"9/17/2018, 4:25 AM",2018,9,0835,"9/17/2018, 4:35 AM",2018,9,0835,"9/17/2018, 8:35 AM",46 W MAIN ST,Rochester,NY,209,Central,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Street,209,Central,9
"187 First St, Rochester, NY, 14605",187 FIRST ST,2018-00225971,2018,9,1907,"9/12/2018, 3:07 PM",2018,9,1907,"9/12/2018, 3:07 PM",2018,9,1907,"9/12/2018, 7:07 PM",187 FIRST ST,Rochester,NY,297,Clinton,Office,PL ,155.30   ,05    ,4,E,F,Larceny,Grand Larceny 4th: Property Taken From Person               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Street,297,Clinton,7
"588 Jay St, Rochester, NY, 14611",588 JAY SQ,2018-00226540,2018,9,1700,"9/12/2018, 1:00 PM",2018,9,1050,"9/13/2018, 6:50 AM",2018,9,1100,"9/13/2018, 11:00 AM",588 JAY SQ,***,NY,***,***,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Single Family Home,291,Lake,1
"120 Railroad St, Rochester, NY, 14609",120 RAILROAD ST,2018-00225573,2018,9,1633,"9/8/2018, 12:33 PM",2018,9,1645,"9/8/2018, 12:45 PM",2018,9,1040,"9/12/2018, 10:40 AM",120 RAILROAD ST,Rochester,NY,297,Clinton,Field,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Shoplifting,Buy/Sell/Trade Shop,297,Clinton,7
"13 Rundel Park, Rochester, NY, 14607",13 RUNDEL PARK,2018-00257447,2018,10,2100,"10/17/2018, 5:00 PM",2018,10,0830,"10/18/2018, 4:30 AM",2018,10,0900,"10/18/2018, 9:00 AM",13 RUNDEL PARK,Rochester,NY,245,Goodman,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,245,Goodman,5
"1037 Bay St, Rochester, NY, 14609",1037 BAY ST,2018-00219799,2018,9,2130,"9/4/2018, 5:30 PM",2018,9,0930,"9/5/2018, 5:30 AM",2018,9,0740,"9/6/2018, 7:40 AM",1037 BAY ST,Rochester,NY,205,Goodman,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,205,Goodman,5
"10 Tracy St, Rochester, NY, 14607",10 TRACY ST,2018-00247573,2018,10,2230,"10/5/2018, 6:30 PM",2018,10,1245,"10/6/2018, 8:45 AM",2018,10,1255,"10/6/2018, 12:55 PM",10 TRACY ST,Rochester,NY,229,Central,Office,PL ,155.30   ,01    ,4,E,F,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Street,229,Central,9
"60 N Clinton Ave, Rochester, NY, 14604",60 S CLINTON AVE,2018-00228001,2018,9,1400,"9/14/2018, 10:00 AM",2018,9,1730,"9/14/2018, 1:30 PM",2018,9,1915,"9/14/2018, 7:15 PM",60 S CLINTON AVE,Rochester,NY,219,Central,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Other Business Office,219,Central,9
"175 Colvin St, Rochester, NY, 14611",175 COLVIN ST,2018-00259173,2018,10,2000,"10/19/2018, 4:00 PM",2018,10,0650,"10/20/2018, 2:50 AM",2018,10,0828,"10/20/2018, 8:28 AM",175 COLVIN ST,Rochester,NY,203,Genesee,Field,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,203,Genesee,3
"321 State St, Rochester, NY, 14608",321 STATE ST,2018-00239761,2018,9,0857,"9/27/2018, 4:57 AM",2018,9,0859,"9/27/2018, 4:59 AM",2018,9,0859,"9/27/2018, 8:59 AM",321 STATE ST,Rochester,NY,209,Central,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Parking Lot,209,Central,9
"321 State St, Rochester, NY, 14608",321 STATE ST,2018-00232330,2018,9,0800,"9/19/2018, 4:00 AM",2018,9,1030,"9/19/2018, 6:30 AM",2018,9,1050,"9/19/2018, 10:50 AM",321 STATE ST,Rochester,NY,209,Central,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,209,Central,9
"360 St Paul St, Rochester, NY, 14605",360 ST PAUL ST,2018-00255702,2018,10,2200,"10/15/2018, 6:00 PM",2018,10,0745,"10/16/2018, 3:45 AM",2018,10,0750,"10/16/2018, 7:50 AM",360 ST PAUL ST,Rochester,NY,287,Clinton,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Street,287,Clinton,7
"150 Mount Hope Ave, Rochester, NY, 14620",150 MT HOPE AVE,2018-00258334,2018,10,0900,"10/19/2018, 5:00 AM",2018,10,1000,"10/19/2018, 6:00 AM",2018,10,1030,"10/19/2018, 10:30 AM",150 MT HOPE AVE,Rochester,NY,229,Central,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Parking Garage,229,Central,9
"444 E Main St, Rochester, NY, 14605",444 E MAIN ST,2018-00228694,2018,9,1100,"9/15/2018, 7:00 AM",2018,9,1130,"9/15/2018, 7:30 AM",2018,9,1320,"9/15/2018, 1:20 PM",444 E MAIN ST,Rochester,NY,219,Central,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Other Public Access Building,219,Central,9
"444 E Main St, Rochester, NY, 14605",444 E MAIN ST,2018-00220826,2018,9,1545,"9/6/2018, 11:45 AM",2018,9,1715,"9/6/2018, 1:15 PM",2018,9,0810,"9/7/2018, 8:10 AM",444 E MAIN ST,Rochester,NY,219,Central,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Other Public Access Building,219,Central,9
"155 St Paul St, Rochester, NY, 14604",155 ST PAUL ST,2018-00261398,2018,10,2230,"10/22/2018, 6:30 PM",2018,10,0700,"10/23/2018, 3:00 AM",2018,10,0910,"10/23/2018, 9:10 AM",155 ST PAUL ST,Rochester,NY,219,Central,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,219,Central,9
"379 Lake Ave, Rochester, NY, 14613",379 LAKE AVE,2018-00234256,2018,9,0005,"9/20/2018, 8:05 PM",2018,9,1030,"9/21/2018, 6:30 AM",2018,9,1050,"9/21/2018, 10:50 AM",379 LAKE AVE,Rochester,NY,271,Lake,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,271,Lake,1
"379 Lake Ave, Rochester, NY, 14613",379 LAKE AVE,2018-00222048,2018,9,2030,"9/7/2018, 4:30 PM",2018,9,1000,"9/8/2018, 6:00 AM",2018,9,1047,"9/8/2018, 10:47 AM",379 LAKE AVE,Rochester,NY,271,Lake,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,271,Lake,1
"39 N Plymouth Ave, Rochester, NY, 14608",39 N PLYMOUTH AVE,2018-00220363,2018,9,1622,"9/6/2018, 12:22 PM",2018,9,1645,"9/6/2018, 12:45 PM",2018,9,1900,"9/6/2018, 7:00 PM",39 N PLYMOUTH AVE,Rochester,NY,209,Central,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Single Family Home,209,Central,9
"206 Meigs St, Rochester, NY, 14607",206 MEIGS ST,2018-00213224,2018,8,2000,"8/29/2018, 4:00 PM",2018,8,0800,"8/30/2018, 4:00 AM",2018,8,0845,"8/30/2018, 8:45 AM",206 MEIGS ST,Rochester,NY,245,Goodman,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Yard,245,Goodman,5
"877 N Clinton Ave, Rochester, NY, 14605",877 N CLINTON AVE,2018-00219463,2018,9,1500,"9/5/2018, 11:00 AM",2018,9,1700,"9/5/2018, 1:00 PM",2018,9,2024,"9/5/2018, 8:24 PM",877 N CLINTON AVE,Rochester,NY,277,Clinton,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Park/Playground,277,Clinton,7
"1060 S Clinton Ave, Rochester, NY, 14620",1060 S CLINTON AVE,2018-00255337,2018,10,1729,"10/15/2018, 1:29 PM",2018,10,1729,"10/15/2018, 1:29 PM",2018,10,1729,"10/15/2018, 5:29 PM",1060 S CLINTON AVE,Rochester,NY,265,Goodman,Office,PL ,155.30   ,01    ,4,E,F,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Other Retail Store,265,Goodman,5
"312 State St, Rochester, NY, 14608",312 STATE ST,2018-00213140,2018,8,0448,"8/30/2018, 12:48 AM",2018,8,0448,"8/30/2018, 12:48 AM",2018,8,0448,"8/30/2018, 4:48 AM",312 STATE ST,Rochester,NY,209,Central,Field,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,209,Central,9
"260 E Main St, Rochester, NY, 14604",260 E MAIN ST,2018-00254960,2018,10,0927,"10/15/2018, 5:27 AM",2018,10,0940,"10/15/2018, 5:40 AM",2018,10,1006,"10/15/2018, 10:06 AM",260 E MAIN ST,Rochester,NY,219,Central,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Building,Other Building,219,Central,9
"70 Liberty Pole Way, Rochester, NY, 14604",70 LIBERTY POLE WAY,2018-00243965,2018,10,0200,"10/1/2018, 10:00 PM",2018,10,0840,"10/2/2018, 4:40 AM",2018,10,1004,"10/2/2018, 10:04 AM",70 LIBERTY POLE WAY,Rochester,NY,219,Central,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Building,Multiple Dwelling,219,Central,9
"55 Gregory St, Rochester, NY, 14620",55 GREGORY ST,2018-00249777,2018,10,2130,"10/8/2018, 5:30 PM",2018,10,0800,"10/9/2018, 4:00 AM",2018,10,0825,"10/9/2018, 8:25 AM",55 GREGORY ST,Rochester,NY,229,Central,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,229,Central,9
"733 University Ave, Rochester, NY, 14607",733 UNIVERSITY AVE,2018-00255710,2018,10,1530,"10/15/2018, 11:30 AM",2018,10,0700,"10/16/2018, 3:00 AM",2018,10,0818,"10/16/2018, 8:18 AM",733 UNIVERSITY AVE,Rochester,NY,245,Goodman,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,245,Goodman,5
"733 University Ave, Rochester, NY, 14607",733 UNIVERSITY AVE,2018-00237930,2018,9,2230,"9/22/2018, 6:30 PM",2018,9,1030,"9/25/2018, 6:30 AM",2018,9,1053,"9/25/2018, 10:53 AM",733 UNIVERSITY AVE,Rochester,NY,245,Goodman,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,Larceny,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Street,245,Goodman,5
"321 Lake Ave, Rochester, NY, 14613",321 LAKE AVE,2018-00246588,2018,9,2000,"9/28/2018, 4:00 PM",2018,9,2000,"9/28/2018, 4:00 PM",2018,10,1150,"10/1/2018, 11:50 AM",321 LAKE AVE,Rochester,NY,271,Lake,Cleared by Arrest - Adult,PL ,155.30   ,05    ,4,E,F,Larceny,Grand Larceny 4th: Property Taken From Person               ,Larceny,Completed,* No Weapon Specified *,All Other Larcenies,Other Outside Location,271,Lake,1
